date, max, min,
2017-04-06, 2017-04-06 23:48, 25, 2017-04-06 00:18, 23
2017-04-07, 2017-04-07 23:38, 24, 2017-04-07 00:18, 24
2017-04-13, 2017-04-13 23:55, 25, 2017-04-13 00:05, 26
2017-04-14, 2017-04-14 23:15, 21, 2017-04-14 00:15, 25
2017-02-09, 2017-02-09 23:50, 28, 2017-02-09 00:20, 25
2017-02-10, 2017-02-10 22:30, 27, 2017-02-10 00:00, 28
2017-02-23, 2017-02-23 23:53, 24, 2017-02-23 00:23, 24
2017-02-24, 2017-02-24 23:23, 24, 2017-02-24 00:13, 24
2017-06-01, 2017-06-01 23:58, 26, 2017-06-01 00:00, 29
2017-06-02, 2017-06-02 23:59, 27, 2017-06-02 00:02, 26
2017-06-15, 2017-06-15 23:59, 24, 2017-06-15 11:46, 25
2017-06-16, 2017-06-16 23:58, 23, 2017-06-16 00:00, 24
2017-06-22, 2017-06-22 23:59, 22, 2017-06-22 00:01, 23
2017-06-23, 2017-06-23 23:59, 23, 2017-06-23 00:00, 22
2017-06-29, 2017-06-29 23:59, 24, 2017-06-29 00:00, 23
2017-06-30, 2017-06-30 23:59, 24, 2017-06-30 00:00, 24
2017-03-02, 2017-03-02 23:52, 23, 2017-03-02 00:22, 23
2017-03-03, 2017-03-03 23:42, 22, 2017-03-03 00:02, 23
2017-03-09, 2017-03-09 23:38, 24, 2017-03-09 00:08, 23
2017-03-10, 2017-03-10 23:58, 25, 2017-03-10 00:18, 26
2017-03-16, 2017-03-16 23:58, 25, 2017-03-16 00:08, 25
2017-03-17, 2017-03-17 23:38, 26, 2017-03-17 00:08, 24
2017-03-23, 2017-03-23 23:56, 23, 2017-03-23 00:16, 26
2017-03-24, 2017-03-24 23:56, 22, 2017-03-24 00:06, 23
2017-03-30, 2017-03-30 23:48, 22, 2017-03-30 00:08, 26
2017-03-31, 2017-03-31 23:58, 24, 2017-03-31 00:08, 23
2017-04-02, 2017-04-02 23:58, 22, 2017-04-02 00:08, 23
2017-04-03, 2017-04-03 23:58, 21, 2017-04-03 00:08, 22
2017-04-09, 2017-04-09 23:48, 24, 2017-04-09 00:08, 23
2017-04-10, 2017-04-10 23:58, 21, 2017-04-10 00:08, 24
2017-02-12, 2017-02-12 23:25, 26, 2017-02-12 00:05, 24
2017-02-13, 2017-02-13 19:55, 26, 2017-02-13 00:35, 30
2017-02-26, 2017-02-26 23:33, 28, 2017-02-26 01:23, 24
2017-02-27, 2017-02-27 23:52, 22, 2017-02-27 00:23, 27
2017-06-18, 2017-06-18 23:59, 24, 2017-06-18 00:01, 22
2017-06-19, 2017-06-19 23:59, 23, 2017-06-19 00:02, 24
2017-06-25, 2017-06-25 23:59, 22, 2017-06-25 00:00, 23
2017-06-26, 2017-06-26 23:58, 23, 2017-06-26 00:00, 22
2017-03-05, 2017-03-05 23:51, 23, 2017-03-05 00:01, 24
2017-03-06, 2017-03-06 23:51, 22, 2017-03-06 00:01, 23
2017-03-12, 2017-03-12 23:58, 24, 2017-03-12 00:08, 25
2017-03-13, 2017-03-13 23:58, 21, 2017-03-13 00:18, 24
2017-03-19, 2017-03-19 23:58, 26, 2017-03-19 00:08, 26
2017-03-20, 2017-03-20 18:58, 25, 2017-03-20 00:08, 26
2017-03-26, 2017-03-26 23:58, 22, 2017-03-26 00:48, 25
2017-03-27, 2017-03-27 23:58, 21, 2017-03-27 00:18, 22
2017-05-29, 2017-05-29 23:59, 28, 2017-05-29 12:12, 27
2017-04-01, 2017-04-01 23:58, 21, 2017-04-01 00:08, 25
2017-04-08, 2017-04-08 23:58, 24, 2017-04-08 00:38, 24
2017-04-15, 2017-04-15 23:55, 22, 2017-04-15 01:05, 20
2017-02-11, 2017-02-11 23:55, 24, 2017-02-11 00:50, 27
2017-02-25, 2017-02-25 23:53, 24, 2017-02-25 00:33, 23
2017-07-01, 2017-07-01 17:25, 22, 2017-07-01 00:00, 24
2017-06-03, 2017-06-03 23:44, 29, 2017-06-03 00:00, 27
2017-06-17, 2017-06-17 23:59, 22, 2017-06-17 00:02, 23
2017-06-24, 2017-06-24 23:59, 24, 2017-06-24 00:00, 23
2017-03-04, 2017-03-04 23:51, 23, 2017-03-04 00:02, 22
2017-03-11, 2017-03-11 23:58, 25, 2017-03-11 00:08, 26
2017-03-18, 2017-03-18 23:58, 27, 2017-03-18 00:08, 24
2017-03-25, 2017-03-25 17:16, 21, 2017-03-25 00:06, 22
2017-04-16, 2017-04-16 11:15, 22, 2017-04-16 00:05, 22
2017-06-04, 2017-06-04 10:22, 28, 2017-06-04 00:08, 29
2017-04-05, 2017-04-05 23:58, 24, 2017-04-05 00:18, 25
2017-04-12, 2017-04-12 23:55, 25, 2017-04-12 00:08, 24
2017-02-08, 2017-02-08 23:40, 25, 2017-02-08 00:40, 24
2017-02-22, 2017-02-22 23:53, 24, 2017-02-22 11:13, 26
2017-05-31, 2017-05-31 23:59, 30, 2017-05-31 00:00, 31
2017-06-21, 2017-06-21 23:59, 23, 2017-06-21 00:00, 23
2017-06-28, 2017-06-28 23:57, 23, 2017-06-28 00:00, 21
2017-03-01, 2017-03-01 23:52, 23, 2017-03-01 00:02, 23
2017-03-08, 2017-03-08 23:58, 24, 2017-03-08 20:48, 26
2017-03-15, 2017-03-15 23:58, 25, 2017-03-15 00:18, 24
2017-03-22, 2017-03-22 23:46, 25, 2017-03-22 16:07, 28
2017-03-29, 2017-03-29 23:48, 24, 2017-03-29 00:18, 20
2017-04-04, 2017-04-04 23:58, 23, 2017-04-04 00:08, 21
2017-04-11, 2017-04-11 23:58, 24, 2017-04-11 00:08, 21
2017-02-06, 2017-02-06 23:30, 27, 2017-02-06 21:05, undefined
2017-02-07, 2017-02-07 23:50, 25, 2017-02-07 00:20, 26
2017-02-14, 2017-02-14 23:35, 25, 2017-02-14 00:15, 25
2017-02-28, 2017-02-28 23:52, 23, 2017-02-28 00:02, 23
2017-06-20, 2017-06-20 23:59, 23, 2017-06-20 00:00, 23
2017-06-27, 2017-06-27 23:59, 21, 2017-06-27 00:03, 22
2017-03-07, 2017-03-07 13:51, 22, 2017-03-07 00:01, 23
2017-03-14, 2017-03-14 23:58, 24, 2017-03-14 00:08, 21
2017-03-28, 2017-03-28 23:48, 20, 2017-03-28 00:08, 22
2017-05-30, 2017-05-30 23:59, 28, 2017-05-30 00:01, 29
2017-02-15, 2017-02-15 16:25, 25, 2017-02-15 01:55, 26"
  }
